account_article_source_id,time_published,time_created
1103087,1442449577,1442449726
1103936,1442458789,1442458848
1104195,1442462400,1442462596
1104197,1442462400,1442462596
1104196,1442462400,1442462596
1104199,1442462400,1442462596
1104198,1442462400,1442462596
1104194,1442462400,1442462596
1104200,1442462400,1442462598
1104201,1442462400,1442462599
1104202,1442462400,1442462600
1104205,1442462400,1442462602
1104207,1442462400,1442462603
1104208,1442462400,1442462604
1107961,1442490050,1442490117
1108130,1442491270,1442491326
1109127,1442497342,1442497447
1109329,1442498527,1442498567
1109423,1442498991,1442499085
1109518,1442499552,1442499595
1117164,1442506310,1442506346
1117424,1442507450,1442507584
1117589,1442508345,1442508528
1117884,1442509744,1442509918
1118025,1442511015,1442511115
1118509,1442515074,1442515181
1118792,1442517383,1442517516
1119140,1442521870,1442521987
1119336,1442523957,1442524069
1119427,1442525308,1442525351
1119541,1442526959,1442527045
1119817,1442528687,1442528707
1120065,1442532214,1442532369
1121167,1442545889,1442545936
1121575,1442548800,1442549070
1121584,1442548800,1442549082
1121585,1442548800,1442549082
1121587,1442548800,1442549082
1121590,1442548800,1442549082
1121592,1442548800,1442549083
1121576,1442548800,1442549070
1121589,1442548800,1442549082
1121588,1442548800,1442549082
1121586,1442548800,1442549082
1121577,1442548800,1442549071
1121578,1442548800,1442549073
1121579,1442548800,1442549075
1121580,1442548800,1442549077
1121581,1442548800,1442549079
1121582,1442548800,1442549081
1121583,1442548800,1442549082
1121591,1442548800,1442549083
1124129,1442548800,1442568211
1124130,1442548800,1442568214
1124131,1442548800,1442568214
1124132,1442548800,1442568214
1124133,1442548800,1442568214
1124134,1442548800,1442568214
1124135,1442548800,1442568215
1124470,1442570146,1442570362
1125552,1442576840,1442576882
1126116,1442580476,1442580571
1126228,1442581150,1442581315
1126819,1442584849,1442584938
1127177,1442586881,1442587031
1127578,1442589140,1442589250
1127791,1442590266,1442590430
1127942,1442591293,1442591412
1128072,1442591925,1442592105
1138176,1442599227,1442599425
1140810,1442601069,1442601210
1144274,1442611904,1442612169
1145298,1442626737,1442627053
1145630,1442631411,1442631462
1145673,1442631597,1442631787
1145920,1442635200,1442635438
1145923,1442635200,1442635439
1145924,1442635200,1442635439
1145938,1442635200,1442635456
1145922,1442635200,1442635439
1145921,1442635200,1442635439
1145925,1442635200,1442635441
1145926,1442635200,1442635443
1145927,1442635200,1442635444
1145930,1442635200,1442635446
1145932,1442635200,1442635448
1145933,1442635200,1442635450
1145934,1442635200,1442635452
1145935,1442635200,1442635454
1145936,1442635200,1442635456
1145937,1442635200,1442635456
1148884,1442674590,1442674698
1151153,1442721600,1442721852
1151152,1442721600,1442721852
1151139,1442721600,1442721839
1151137,1442721600,1442721837
1151138,1442721600,1442721839
1151140,1442721600,1442721840
1151141,1442721600,1442721841
1151142,1442721600,1442721842
1151143,1442721600,1442721844
1151144,1442721600,1442721845
1151145,1442721600,1442721845
1151146,1442721600,1442721847
1151147,1442721600,1442721848
1151148,1442721600,1442721848
1151149,1442721600,1442721849
1151150,1442721600,1442721850
1151151,1442721600,1442721852
1151154,1442721600,1442721853
1151155,1442715800,1442721855
1151156,1442715483,1442721856
1153513,1442752000,1442752058
1153559,1442752636,1442752830
1154315,1442760834,1442760926
1154912,1442766789,1442766870
1155248,1442769804,1442770013
1156487,1442766789,1442784580
1161230,1442808000,1442832256
1158177,1442808000,1442808181
1158178,1442808000,1442808182
1158179,1442808000,1442808183
1158180,1442808000,1442808184
1158181,1442808000,1442808185
1158183,1442808000,1442808186
1158185,1442808000,1442808187
1158186,1442805882,1442808192
1158187,1442804678,1442808193
1158719,1442813453,1442813521
1159315,1442804678,1442818983
1159316,1442760834,1442818984
1159317,1442752000,1442818985
1159318,1442721600,1442818987
1160749,1442829059,1442829188
1161997,1442837290,1442837445
1163298,1442845265,1442845635
1163490,1442808000,1442846689
1163872,1442848001,1442849133
1164120,1442850624,1442850663
1164320,1442851235,1442851606
1164748,1442854075,1442854375
1165050,1442855719,1442856212
1165138,1442856232,1442856758
1165461,1442845265,1442860032
1165462,1442813453,1442860033
1165463,1442808000,1442860033
1165464,1442808000,1442860034
1165831,1442864036,1442864391
1165830,1442864329,1442864391
1165877,1442864717,1442864865
1165907,1442865020,1442865396
1166093,1442867756,1442867972
1166287,1442870578,1442870795
1166597,1442873666,1442873864
1166613,1442873235,1442874228
1166749,1442876318,1442876668
1166814,1442877328,1442877594
1166939,1442879712,1442879840
1167557,1442886467,1442886710
1168371,1442894400,1442894596
1168358,1442894400,1442894581
1168359,1442894400,1442894582
1168360,1442894400,1442894583
1168361,1442894400,1442894585
1168362,1442894400,1442894586
1168363,1442894400,1442894588
1168364,1442894400,1442894589
1168365,1442894400,1442894590
1168366,1442894400,1442894591
1168367,1442894400,1442894592
1168368,1442894400,1442894594
1168369,1442894400,1442894595
1168370,1442894400,1442894596
1168372,1442894400,1442894597
1168373,1442894400,1442894600
1168374,1442894400,1442894601
1168375,1442894400,1442894602
1168376,1442894400,1442894603
1171433,1442918266,1442920017
1171517,1442920539,1442920852
1171598,1442921050,1442921625
1171923,1442923685,1442923853
1172417,1442927024,1442927229
1172648,1442928358,1442928616
1173495,1442933085,1442933379
1174419,1442938756,1442938850
1174487,1442939337,1442939378
1176192,1442940101,1442943705
1174888,1442940495,1442940916
1175916,1442943211,1442943255
1177746,1442944984,1442945824
1178381,1442950435,1442950611
1178738,1442952953,1442953023
1179277,1442957820,1442957986
1179433,1442959358,1442959486
1180650,1442974252,1442974444
1187070,1442980800,1443022215
1181298,1442980800,1442980957
1181352,1442980906,1442981088
1181359,1442980800,1442981223
1181369,1442981174,1442981356
1181370,1442980800,1442981358
1181371,1442980800,1442981361
1181378,1442981382,1442981494
1181379,1442980800,1442981496
1181392,1442981571,1442981702
1181414,1442980800,1442982119
1181415,1442980800,1442982120
1181421,1442982070,1442982256
1181439,1442982414,1442982626
1191690,1442997959,1443066564
1184221,1443003300,1443003320
1185060,1443009519,1443009551
1185259,1443010550,1443010662
1185828,1443014377,1443014452
1185898,1443014903,1443015056
1186231,1443017282,1443017392
1186543,1443019276,1443019365
1187730,1443026239,1443026406
1189708,1443043106,1443043120
1189792,1443043786,1443044047
1189962,1443045200,1443045375
1191545,1443063538,1443063781
1191618,1443064700,1443064893
1191842,1443067200,1443067434
1191844,1443067200,1443067436
1191835,1443067200,1443067432
1195727,1443067200,1443097405
1191825,1443067377,1443067426
1191829,1443067239,1443067428
1191832,1443067200,1443067430
1191834,1443067200,1443067432
1191841,1443067200,1443067434
1191843,1443067200,1443067436
1191846,1443064997,1443067438
1191858,1443067423,1443067537
1191868,1443067606,1443067664
1191869,1443067522,1443067666
1191877,1443067841,1443067966
1191926,1443068197,1443068373
1194452,1443087972,1443088059
1194902,1443090766,1443090884
1195303,1443092185,1443094033
1195302,1443093846,1443094033
1195765,1443097577,1443097726
1195924,1443098376,1443098492
1196445,1443101602,1443101774
1196636,1443102569,1443102701
1197206,1443106236,1443106325
1197874,1443109632,1443109901
1197875,1443109322,1443109903
1197876,1443108551,1443109905
1198324,1443111803,1443112705
1198325,1443111166,1443112707
1198326,1443110431,1443112708
1198850,1443115773,1443116471
1199119,1443117367,1443118276
1199490,1443120751,1443121370
1199538,1443121789,1443121880
1199573,1443122403,1443122471
1199749,1443124017,1443124282
1200114,1443128264,1443128463
1200115,1443128253,1443128463
1200244,1443130401,1443130595
1201926,1443132345,1443132480
1202369,1443132856,1443132977
1203854,1443134824,1443134889
1205426,1443141967,1443142223
1206598,1443153600,1443153663
1206601,1443153600,1443153665
1206603,1443153600,1443153667
1206604,1443153600,1443153669
1206605,1443153600,1443153670
1206606,1443153600,1443153672
1206607,1443153600,1443153674
1206609,1443153600,1443153676
1206610,1443153600,1443153678
1206612,1443153600,1443153679
1206613,1443153600,1443153681
1206614,1443153600,1443153683
1206615,1443153600,1443153685
1206616,1443153600,1443153686
1206617,1443153600,1443153688
1206618,1443153600,1443153690
1206619,1443153600,1443153692
1206620,1443153600,1443153694
1206621,1443153600,1443153697
1206622,1443153600,1443153698
1206822,1443154027,1443154151
1206826,1443154207,1443154278
1209373,1443175324,1443175408
1209968,1443179630,1443179816
1210232,1443180383,1443182312
1210642,1443185037,1443185120
1210958,1443187066,1443187292
1211162,1443188406,1443188596
1211746,1443192110,1443192330
1212394,1443196079,1443196617
1213703,1443203796,1443204976
1214032,1443208357,1443208479
1214189,1443210393,1443210508
1215030,1443210393,1443219729
1215031,1443208357,1443219731
1215032,1443203796,1443219733
1215033,1443196079,1443219735
1215034,1443192110,1443219736
1215035,1443188406,1443219739
1215036,1443187066,1443219741
1215037,1443185037,1443219743
1215038,1443180383,1443219744
1215039,1443179630,1443219744
1215040,1443175324,1443219745
1215041,1443154207,1443219745
1215042,1443154027,1443219745
1215043,1443153600,1443219745
1215044,1443153600,1443219745
1215045,1443153600,1443219745
1215046,1443153600,1443219746
1215047,1443153600,1443219746
1215048,1443153600,1443219746
1215049,1443153600,1443219746
1216589,1443240000,1443240188
1216590,1443240000,1443240188
1216582,1443240000,1443240170
1216581,1443240000,1443240170
1216583,1443240000,1443240179
1216584,1443240000,1443240181
1216585,1443240000,1443240183
1216586,1443240000,1443240184
1216587,1443240000,1443240186
1216588,1443240000,1443240188
1216591,1443240000,1443240190
1216592,1443240000,1443240192
1216593,1443240000,1443240193
1216594,1443238795,1443240195
1216595,1443238721,1443240197
1218961,1443268928,1443271544
1219111,1443273483,1443273507
1222333,1443326400,1443326617
1222335,1443326400,1443326620
1222336,1443326400,1443326625
1222338,1443326400,1443326627
1222339,1443326400,1443326629
1222341,1443326400,1443326632
1222342,1443326400,1443326633
1222343,1443326400,1443326635
1222345,1443326400,1443326638
1222346,1443326400,1443326639
1222347,1443326400,1443326641
